Period,Power,Irradiance,Ambient temperature,PV Temperature
01/01/2023 00:00,0,0,0,0
01/01/2023 00:30,0,0,0,0
01/01/2023 01:00,0,0.3,6,0
01/01/2023 01:30,0,0,6.1,0
01/01/2023 02:00,0,0,5.4,0
01/01/2023 02:30,0,1.2,4.9,0
01/01/2023 03:00,0,0,4.4,0
01/01/2023 03:30,0,1.9,5.5,0
01/01/2023 04:00,0,0,6.2,0
01/01/2023 04:30,0,0,7.3,0
01/01/2023 05:00,0,10,11.9,0
01/01/2023 05:30,0,2,14,0
01/01/2023 06:00,0,0,8.4,0
01/01/2023 06:30,0,0,7.7,0
01/01/2023 07:00,15.642,8,5.9,0
01/01/2023 07:30,106.661,65.7,6.9,0
01/01/2023 08:00,246.909,144.8,8.3,0
01/01/2023 08:30,426.277,218.7,15.1,0
01/01/2023 09:00,637.289,299.2,17,0
01/01/2023 09:30,702.234,357.6,17.7,0
01/01/2023 10:00,702.208,409.8,18.1,0
01/01/2023 10:30,793.635,467.7,18.3,0
01/01/2023 11:00,779.189,502.6,18.5,0
01/01/2023 11:30,935.52,512.1,18.6,0
01/01/2023 12:00,1030.926,478.3,18.6,0
01/01/2023 12:30,911.491,463.9,18.4,0
01/01/2023 13:00,1016.255,467.6,18.5,0
01/01/2023 13:30,469.417,208,18.3,0
01/01/2023 14:00,686.307,300.8,17.9,0
01/01/2023 14:30,642.92,284,18.4,0
01/01/2023 15:00,318.624,146.2,18,0
01/01/2023 15:30,181.547,86.6,17.6,0
01/01/2023 16:00,116.635,54.9,17.3,0
01/01/2023 16:30,21.985,10.5,16.7,0
01/01/2023 17:00,0.026,0,16.7,0
01/01/2023 17:30,0.026,0,16.5,0
01/01/2023 18:00,0.026,0,16.5,0
01/01/2023 18:30,0.026,0,16.6,0
01/01/2023 19:00,0.026,0,16.6,0
01/01/2023 19:30,0.026,0,16.6,0
01/01/2023 20:00,0.026,0,16.7,0
01/01/2023 20:30,0.026,0,16.4,0
01/01/2023 21:00,0.026,0,16.5,0
01/01/2023 21:30,0.026,0,15.8,0
01/01/2023 22:00,0.026,0,15.8,0
01/01/2023 22:30,0.026,0,15.5,0
01/01/2023 23:00,0.026,0,15.7,0
01/01/2023 23:30,0.026,0,15.3,0
02/01/2023 00:00,0,0,14.6,0
02/01/2023 00:30,0,0,14.4,0
02/01/2023 01:00,0,0,13.9,0
