Period,Power
01/01/2023 00:00,0
01/01/2023 00:30,0
01/01/2023 01:00,0
01/01/2023 01:30,0
01/01/2023 02:00,0
01/01/2023 02:30,0
01/01/2023 03:00,0
01/01/2023 03:30,0
01/01/2023 04:00,0
01/01/2023 04:30,0
01/01/2023 05:00,0
01/01/2023 05:30,0
01/01/2023 06:00,0
01/01/2023 06:30,0
01/01/2023 07:00,15.642
01/01/2023 07:30,106.661
01/01/2023 08:00,246.909
01/01/2023 08:30,426.277
01/01/2023 09:00,637.289
01/01/2023 09:30,702.234
01/01/2023 10:00,702.208
01/01/2023 10:30,793.635
01/01/2023 11:00,779.189
01/01/2023 11:30,935.52
01/01/2023 12:00,1030.926
01/01/2023 12:30,911.491
01/01/2023 13:00,1016.255
01/01/2023 13:30,469.417
01/01/2023 14:00,686.307
01/01/2023 14:30,642.92
01/01/2023 15:00,318.624
01/01/2023 15:30,181.547
01/01/2023 16:00,116.635
01/01/2023 16:30,21.985
01/01/2023 17:00,0.026
01/01/2023 17:30,0.026
01/01/2023 18:00,0.026
01/01/2023 18:30,0.026
01/01/2023 19:00,0.026
01/01/2023 19:30,0.026
01/01/2023 20:00,0.026
01/01/2023 20:30,0.026
01/01/2023 21:00,0.026
01/01/2023 21:30,0.026
01/01/2023 22:00,0.026
01/01/2023 22:30,0.026
01/01/2023 23:00,0.026
01/01/2023 23:30,0.026
02/01/2023 00:00,0
02/01/2023 00:30,0
02/01/2023 01:00,0
02/01/2023 01:30,0
02/01/2023 02:00,0
02/01/2023 02:30,0
02/01/2023 03:00,0
02/01/2023 03:30,0
02/01/2023 04:00,0
02/01/2023 04:30,0
02/01/2023 05:00,0
02/01/2023 05:30,0
02/01/2023 06:00,0
02/01/2023 06:30,0
02/01/2023 07:00,23.159
02/01/2023 07:30,121.089
02/01/2023 08:00,204.764
02/01/2023 08:30,457.75
02/01/2023 09:00,476.796
02/01/2023 09:30,344.356
02/01/2023 10:00,894.402
02/01/2023 10:30,1055.59
02/01/2023 11:00,728.525
02/01/2023 11:30,990.939
02/01/2023 12:00,990.93
02/01/2023 12:30,971.693
02/01/2023 13:00,305.973
02/01/2023 13:30,762.477
02/01/2023 14:00,744.803
02/01/2023 14:30,959.838
02/01/2023 15:00,513.057
02/01/2023 15:30,223.607
02/01/2023 16:00,152.095
02/01/2023 16:30,35.662
02/01/2023 17:00,0.322
02/01/2023 17:30,0.322
02/01/2023 18:00,0.322
02/01/2023 18:30,0.322
02/01/2023 19:00,0.322
02/01/2023 19:30,0.322
02/01/2023 20:00,0.322
02/01/2023 20:30,0.322
02/01/2023 21:00,0.322
02/01/2023 21:30,0.322
02/01/2023 22:00,0.322
02/01/2023 22:30,0.322
02/01/2023 23:00,0.322
02/01/2023 23:30,0.322
03/01/2023 00:00,0
03/01/2023 00:30,0
03/01/2023 01:00,0
03/01/2023 01:30,0
03/01/2023 02:00,0
03/01/2023 02:30,0
03/01/2023 03:00,0
03/01/2023 03:30,0
03/01/2023 04:00,0
03/01/2023 04:30,0
03/01/2023 05:00,0
03/01/2023 05:30,0
03/01/2023 06:00,0
03/01/2023 06:30,0
03/01/2023 07:00,17.662
03/01/2023 07:30,94.692
03/01/2023 08:00,234.485
03/01/2023 08:30,454.357
03/01/2023 09:00,674.067
03/01/2023 09:30,848.691
03/01/2023 10:00,1085.22
03/01/2023 10:30,1123.586
03/01/2023 11:00,1267.953
03/01/2023 11:30,690.507
03/01/2023 12:00,432.508
03/01/2023 12:30,1181.587
03/01/2023 13:00,1089.382
03/01/2023 13:30,988.245
03/01/2023 14:00,854.228
03/01/2023 14:30,691.641
03/01/2023 15:00,481.619
03/01/2023 15:30,272.57
03/01/2023 16:00,125.868
03/01/2023 16:30,35.027
03/01/2023 17:00,0.491
03/01/2023 17:30,0.491
03/01/2023 18:00,0.491
03/01/2023 18:30,0.491
03/01/2023 19:00,0.491
03/01/2023 19:30,0.491
03/01/2023 20:00,0.491
03/01/2023 20:30,0.491
03/01/2023 21:00,0.491
03/01/2023 21:30,0.491
03/01/2023 22:00,0.491
03/01/2023 22:30,0.491
03/01/2023 23:00,0.491
03/01/2023 23:30,0.491
04/01/2023 00:00,0
04/01/2023 00:30,0
04/01/2023 01:00,0
04/01/2023 01:30,0
04/01/2023 02:00,0
04/01/2023 02:30,0
04/01/2023 03:00,0
04/01/2023 03:30,0
04/01/2023 04:00,0
04/01/2023 04:30,0
04/01/2023 05:00,0
04/01/2023 05:30,0
04/01/2023 06:00,0
04/01/2023 06:30,0
04/01/2023 07:00,13.018
04/01/2023 07:30,102.182
04/01/2023 08:00,234.472
04/01/2023 08:30,446.798
04/01/2023 09:00,665.984
04/01/2023 09:30,835.973
04/01/2023 10:00,988.784
04/01/2023 10:30,1088.068
04/01/2023 11:00,1166.126
04/01/2023 11:30,1205.357
04/01/2023 12:00,1186.246
04/01/2023 12:30,1146.979
04/01/2023 13:00,1108.441
04/01/2023 13:30,1015.793
04/01/2023 14:00,864.341
04/01/2023 14:30,711.84
04/01/2023 15:00,510.928
04/01/2023 15:30,292.388
04/01/2023 16:00,130.363
04/01/2023 16:30,40.156
04/01/2023 17:00,0.73
04/01/2023 17:30,0.73
04/01/2023 18:00,0.73
04/01/2023 18:30,0.73
04/01/2023 19:00,0.73
04/01/2023 19:30,0.73
04/01/2023 20:00,0.73
04/01/2023 20:30,0.73
04/01/2023 21:00,0.73
04/01/2023 21:30,0.73
04/01/2023 22:00,0.73
04/01/2023 22:30,0.73
04/01/2023 23:00,0.73
04/01/2023 23:30,0.73
05/01/2023 00:00,0.73
05/01/2023 00:30,0.73
05/01/2023 01:00,0.73
05/01/2023 01:30,0.73
05/01/2023 02:00,0.73
05/01/2023 02:30,0.73
05/01/2023 03:00,0.73
05/01/2023 03:30,0.73
05/01/2023 04:00,0.73
05/01/2023 04:30,0.73
05/01/2023 05:00,0.73
05/01/2023 05:30,0.73
05/01/2023 06:00,0.73
05/01/2023 06:30,0
05/01/2023 07:00,19.185
05/01/2023 07:30,95.155
05/01/2023 08:00,245.816
05/01/2023 08:30,471.554
05/01/2023 09:00,710.659
05/01/2023 09:30,858.337
05/01/2023 10:00,1006.949
05/01/2023 10:30,1109.662
05/01/2023 11:00,1172.738
05/01/2023 11:30,1234.136
05/01/2023 12:00,1264.857
05/01/2023 12:30,1324.263
05/01/2023 13:00,1132.889
05/01/2023 13:30,1029.255
05/01/2023 14:00,878.891
05/01/2023 14:30,706.355
05/01/2023 15:00,496.064
05/01/2023 15:30,286.646
05/01/2023 16:00,130.144
05/01/2023 16:30,33.028
05/01/2023 17:00,0.378
05/01/2023 17:30,0.378
05/01/2023 18:00,0.378
05/01/2023 18:30,0.378
05/01/2023 19:00,0.378
05/01/2023 19:30,0.378
05/01/2023 20:00,0.378
05/01/2023 20:30,0.378
05/01/2023 21:00,0.378
05/01/2023 21:30,0.378
05/01/2023 22:00,0.378
05/01/2023 22:30,0.378
05/01/2023 23:00,0.378
05/01/2023 23:30,0.378
06/01/2023 00:00,0
06/01/2023 00:30,0
06/01/2023 01:00,0
06/01/2023 01:30,0
06/01/2023 02:00,0
06/01/2023 02:30,0
06/01/2023 03:00,0
06/01/2023 03:30,0
06/01/2023 04:00,0
06/01/2023 04:30,0
06/01/2023 05:00,0
06/01/2023 05:30,0
06/01/2023 06:00,0
06/01/2023 06:30,0
06/01/2023 07:00,15.991
06/01/2023 07:30,91.458
06/01/2023 08:00,237.022
06/01/2023 08:30,442.438
06/01/2023 09:00,674.274
06/01/2023 09:30,828.442
06/01/2023 10:00,989.932
06/01/2023 10:30,1077.239
06/01/2023 11:00,1151.892
06/01/2023 11:30,1363.693
06/01/2023 12:00,385.176
06/01/2023 12:30,559.246
06/01/2023 13:00,978.849
06/01/2023 13:30,772.013
06/01/2023 14:00,541.119
06/01/2023 14:30,331.917
06/01/2023 15:00,581.878
06/01/2023 15:30,301.311
06/01/2023 16:00,148.758
06/01/2023 16:30,38.035
06/01/2023 17:00,0.73
06/01/2023 17:30,0.73
06/01/2023 18:00,0.73
06/01/2023 18:30,0.73
06/01/2023 19:00,0.73
06/01/2023 19:30,0.73
06/01/2023 20:00,0.73
06/01/2023 20:30,0.73
06/01/2023 21:00,0.73
06/01/2023 21:30,0.73
06/01/2023 22:00,0.73
06/01/2023 22:30,0.73
06/01/2023 23:00,0.73
06/01/2023 23:30,0.73
07/01/2023 00:00,0
07/01/2023 00:30,0
07/01/2023 01:00,0
07/01/2023 01:30,0
07/01/2023 02:00,0
07/01/2023 02:30,0
07/01/2023 03:00,0
07/01/2023 03:30,0
07/01/2023 04:00,0
07/01/2023 04:30,0
07/01/2023 05:00,0
07/01/2023 05:30,0
07/01/2023 06:00,0
07/01/2023 06:30,0
07/01/2023 07:00,19.556
07/01/2023 07:30,101.836
07/01/2023 08:00,239.351
07/01/2023 08:30,293.095
07/01/2023 09:00,682.807
07/01/2023 09:30,840.657
07/01/2023 10:00,991.12
07/01/2023 10:30,1104.009
07/01/2023 11:00,1180.927
